Transaction ID,Country,Amount (USD),Transaction Type,Date of Transaction,Person Involved,Industry,Destination Country,Reported by Authority,Source of Money,Money Laundering Risk Score,Shell Companies Involved,Financial Institution,Risk_Classification
TX0000005292,Brazil,4746806.402,Cash Withdrawal,2013-08-09 11:00,Person_8419,Finance,South Africa,TRUE,Illegal,5,3,Bank_455,1
TX0000002265,Brazil,3439961.428,Property Purchase,2013-04-05 8:00,Person_7932,Oil & Gas,Brazil,FALSE,Illegal,4,6,Bank_41,0
TX0000005829,UAE,703447.0732,Cryptocurrency,2013-08-31 20:00,Person_5788,Construction,China,FALSE,Legal,6,7,Bank_371,1
TX0000009102,Singapore,2728446.923,Cash Withdrawal,2014-01-15 5:00,Person_1748,Oil & Gas,South Africa,FALSE,Illegal,6,6,Bank_189,1
TX0000005788,Brazil,4656152.146,Offshore Transfer,2013-08-30 3:00,Person_9131,Construction,Singapore,TRUE,Legal,4,2,Bank_214,0
TX0000000110,Brazil,4904774.25,Property Purchase,2013-01-05 13:00,Person_4795,Real Estate,South Africa,TRUE,Illegal,9,9,Bank_160,1
TX0000009033,UK,130018.0909,Cryptocurrency,2014-01-12 8:00,Person_9308,Casinos,Singapore,TRUE,Illegal,9,8,Bank_257,1
TX0000007122,Singapore,517692.6791,Property Purchase,2013-10-24 17:00,Person_193,Casinos,South Africa,FALSE,Illegal,6,1,Bank_357,1
TX0000009985,Switzerland,3016991.879,Stocks Transfer,2014-02-21 0:00,Person_7165,Luxury Goods,Russia,FALSE,Illegal,3,4,Bank_229,0
TX0000008408,UAE,656662.5013,Stocks Transfer,2013-12-17 7:00,Person_8141,Arms Trade,USA,FALSE,Illegal,3,2,Bank_220,0
TX0000006541,South Africa,346686.8075,Offshore Transfer,2013-09-30 12:00,Person_5396,Oil & Gas,USA,FALSE,Illegal,8,8,Bank_4,1
TX0000000313,UK,2866106.631,Property Purchase,2013-01-14 0:00,Person_9368,Luxury Goods,UK,FALSE,Legal,3,3,Bank_331,0
TX0000003840,India,1842202.573,Cash Withdrawal,2013-06-09 23:00,Person_7819,Arms Trade,South Africa,FALSE,Illegal,1,1,Bank_490,0
TX0000003714,UAE,1957702.697,Property Purchase,2013-06-04 17:00,Person_1658,Real Estate,Brazil,FALSE,Legal,4,9,Bank_261,0
TX0000005728,UK,1352373.869,Offshore Transfer,2013-08-27 15:00,Person_4682,Luxury Goods,UAE,TRUE,Illegal,6,9,Bank_1,1
TX0000005235,USA,2447279.031,Stocks Transfer,2013-08-07 2:00,Person_425,Arms Trade,Russia,TRUE,Illegal,3,1,Bank_185,0
TX0000008384,South Africa,4397733.353,Cryptocurrency,2013-12-16 7:00,Person_1330,Casinos,Singapore,TRUE,Legal,7,5,Bank_498,1
TX0000001319,UAE,4846290.89,Cryptocurrency,2013-02-24 22:00,Person_3469,Real Estate,Singapore,FALSE,Illegal,8,6,Bank_337,1
TX0000008245,India,690195.3943,Stocks Transfer,2013-12-10 12:00,Person_9895,Arms Trade,USA,TRUE,Illegal,4,7,Bank_307,0
TX0000000805,China,937764.0412,Stocks Transfer,2013-02-03 12:00,Person_4878,Finance,USA,FALSE,Legal,2,7,Bank_151,0
TX0000008582,Singapore,2647100.939,Property Purchase,2013-12-24 13:00,Person_7453,Real Estate,Singapore,TRUE,Illegal,7,9,Bank_474,1
TX0000009383,Brazil,1389641.304,Offshore Transfer,2014-01-26 22:00,Person_783,Casinos,UK,TRUE,Illegal,7,2,Bank_438,1
TX0000001968,Switzerland,801271.8752,Offshore Transfer,2013-03-23 23:00,Person_617,Finance,India,FALSE,Illegal,6,3,Bank_207,1
TX0000004886,Russia,346843.6608,Stocks Transfer,2013-07-23 13:00,Person_8562,Finance,Brazil,FALSE,Legal,2,2,Bank_195,0
TX0000005612,Singapore,3271752.811,Offshore Transfer,2013-08-22 19:00,Person_3053,Casinos,South Africa,TRUE,Illegal,9,9,Bank_315,1
TX0000006546,UAE,4787473.406,Cryptocurrency,2013-09-30 17:00,Person_4726,Real Estate,UK,FALSE,Illegal,6,0,Bank_202,1
TX0000001007,South Africa,2061144.894,Property Purchase,2013-02-11 22:00,Person_6719,Luxury Goods,UAE,TRUE,Illegal,9,8,Bank_105,1
TX0000008004,Russia,545254.1932,Cash Withdrawal,2013-11-30 11:00,Person_9093,Luxury Goods,Brazil,FALSE,Legal,4,7,Bank_338,0
TX0000008260,UK,371160.6327,Offshore Transfer,2013-12-11 3:00,Person_7370,Luxury Goods,China,FALSE,Illegal,5,3,Bank_182,1
TX0000002595,UAE,915318.9478,Property Purchase,2013-04-19 2:00,Person_990,Oil & Gas,Russia,FALSE,Illegal,7,5,Bank_194,1
TX0000003568,Brazil,2171649.562,Stocks Transfer,2013-05-29 15:00,Person_8843,Oil & Gas,USA,FALSE,Illegal,5,4,Bank_273,1
TX0000007929,Switzerland,2228742.61,Offshore Transfer,2013-11-27 8:00,Person_6458,Construction,USA,FALSE,Illegal,3,0,Bank_209,0
TX0000002371,China,1489739.338,Cash Withdrawal,2013-04-09 18:00,Person_5693,Oil & Gas,South Africa,FALSE,Illegal,3,4,Bank_255,0
TX0000006296,UAE,4416375.257,Cryptocurrency,2013-09-20 7:00,Person_8080,Luxury Goods,Switzerland,FALSE,Illegal,7,6,Bank_299,1
TX0000003112,USA,4983387.108,Cryptocurrency,2013-05-10 15:00,Person_1774,Arms Trade,Brazil,FALSE,Legal,2,2,Bank_108,0
TX0000009130,Singapore,2843203.436,Cash Withdrawal,2014-01-16 9:00,Person_1791,Oil & Gas,USA,TRUE,Legal,3,8,Bank_378,0
TX0000002798,India,3906924.013,Cash Withdrawal,2013-04-27 13:00,Person_4936,Casinos,South Africa,TRUE,Legal,2,2,Bank_409,0
TX0000000924,Switzerland,3533227.043,Offshore Transfer,2013-02-08 11:00,Person_1156,Casinos,UAE,FALSE,Illegal,6,9,Bank_225,1
TX0000001791,Brazil,232964.2494,Cash Withdrawal,2013-03-16 14:00,Person_80,Real Estate,India,FALSE,Illegal,3,5,Bank_484,0
TX0000006054,China,3116057.448,Property Purchase,2013-09-10 5:00,Person_6968,Finance,USA,FALSE,Legal,5,9,Bank_350,1
TX0000007640,UK,1159714.792,Stocks Transfer,2013-11-15 7:00,Person_2377,Finance,Switzerland,FALSE,Legal,0,0,Bank_33,0
TX0000009074,USA,2417233.948,Cryptocurrency,2014-01-14 1:00,Person_965,Finance,Singapore,FALSE,Illegal,4,4,Bank_340,0
TX0000003957,Brazil,1804103.99,Property Purchase,2013-06-14 20:00,Person_6424,Arms Trade,Brazil,FALSE,Illegal,6,3,Bank_251,1
TX0000005647,China,558340.3192,Offshore Transfer,2013-08-24 6:00,Person_4038,Construction,China,FALSE,Illegal,5,8,Bank_149,1
TX0000005138,UK,4418454.581,Offshore Transfer,2013-08-03 1:00,Person_9959,Finance,China,TRUE,Illegal,7,0,Bank_49,1
TX0000007756,Russia,1324818.98,Stocks Transfer,2013-11-20 3:00,Person_4185,Oil & Gas,UAE,FALSE,Illegal,3,4,Bank_142,0
TX0000007599,India,37452.76955,Stocks Transfer,2013-11-13 14:00,Person_2801,Luxury Goods,Brazil,FALSE,Legal,0,1,Bank_57,0
TX0000007766,Brazil,1793008.123,Property Purchase,2013-11-20 13:00,Person_5842,Finance,USA,FALSE,Illegal,7,8,Bank_326,1
TX0000003161,South Africa,3065221.024,Cryptocurrency,2013-05-12 16:00,Person_1149,Luxury Goods,Switzerland,FALSE,Legal,6,5,Bank_260,1
TX0000000932,South Africa,3700715.252,Cash Withdrawal,2013-02-08 19:00,Person_6685,Construction,UAE,FALSE,Legal,4,7,Bank_79,0
TX0000007406,South Africa,838082.3012,Offshore Transfer,2013-11-05 13:00,Person_3630,Casinos,USA,FALSE,Illegal,5,2,Bank_476,1
TX0000004928,South Africa,3585391.107,Cryptocurrency,2013-07-25 7:00,Person_4997,Finance,South Africa,FALSE,Legal,4,7,Bank_456,0
TX0000003328,Singapore,437194.1026,Property Purchase,2013-05-19 15:00,Person_9120,Arms Trade,Russia,TRUE,Illegal,9,4,Bank_116,1
TX0000008689,Russia,2469766.594,Cash Withdrawal,2013-12-29 0:00,Person_5191,Arms Trade,USA,FALSE,Legal,2,8,Bank_446,0
TX0000000992,Russia,1381390.764,Offshore Transfer,2013-02-11 7:00,Person_9785,Finance,UK,FALSE,Legal,4,0,Bank_30,0
TX0000006325,UAE,2463384.421,Cash Withdrawal,2013-09-21 12:00,Person_9744,Arms Trade,China,FALSE,Illegal,4,8,Bank_255,0
TX0000008988,South Africa,3490458.132,Offshore Transfer,2014-01-10 11:00,Person_2835,Finance,Switzerland,FALSE,Legal,4,3,Bank_44,0
TX0000001994,UAE,113645.5699,Stocks Transfer,2013-03-25 1:00,Person_9308,Luxury Goods,China,FALSE,Illegal,3,1,Bank_116,0
TX0000007426,Switzerland,1756223.505,Offshore Transfer,2013-11-06 9:00,Person_5879,Real Estate,Russia,FALSE,Legal,2,5,Bank_118,0
TX0000007990,Switzerland,1066457.366,Offshore Transfer,2013-11-29 21:00,Person_4143,Arms Trade,UAE,FALSE,Illegal,5,2,Bank_321,1
TX0000005831,UAE,2234907.579,Stocks Transfer,2013-08-31 22:00,Person_6752,Construction,Singapore,TRUE,Illegal,7,9,Bank_266,1
TX0000009221,UK,909986.2187,Offshore Transfer,2014-01-20 4:00,Person_8401,Construction,Singapore,FALSE,Illegal,6,8,Bank_263,1
TX0000001335,USA,1113509.673,Offshore Transfer,2013-02-25 14:00,Person_2180,Arms Trade,South Africa,FALSE,Legal,4,1,Bank_175,0
TX0000006818,Brazil,749030.8945,Cryptocurrency,2013-10-12 1:00,Person_223,Finance,UK,FALSE,Legal,3,1,Bank_70,0
TX0000004223,China,3587832.532,Stocks Transfer,2013-06-25 22:00,Person_5578,Arms Trade,UAE,TRUE,Illegal,7,4,Bank_177,1
TX0000008752,Switzerland,1183306.554,Stocks Transfer,2013-12-31 15:00,Person_611,Construction,USA,FALSE,Illegal,0,0,Bank_464,0
TX0000002625,Russia,4347918.285,Cryptocurrency,2013-04-20 8:00,Person_8903,Finance,UK,FALSE,Illegal,7,9,Bank_6,1
TX0000007814,South Africa,3969484.335,Cash Withdrawal,2013-11-22 13:00,Person_3781,Construction,Russia,TRUE,Illegal,4,7,Bank_391,0
TX0000001873,South Africa,3287522.711,Offshore Transfer,2013-03-20 0:00,Person_631,Real Estate,Switzerland,TRUE,Illegal,8,8,Bank_389,1
TX0000006247,USA,2746197.606,Property Purchase,2013-09-18 6:00,Person_7290,Luxury Goods,Russia,FALSE,Illegal,3,1,Bank_312,0
TX0000007454,Singapore,4495297.252,Cash Withdrawal,2013-11-07 13:00,Person_6300,Real Estate,Switzerland,FALSE,Illegal,3,6,Bank_350,0
TX0000001856,Switzerland,3288489.428,Cryptocurrency,2013-03-19 7:00,Person_9163,Construction,South Africa,FALSE,Illegal,6,3,Bank_377,1
TX0000001106,India,3199930.413,Offshore Transfer,2013-02-16 1:00,Person_4079,Construction,Brazil,TRUE,Illegal,4,1,Bank_122,0
TX0000000043,UK,292201.8751,Cash Withdrawal,2013-01-02 18:00,Person_4033,Real Estate,UK,FALSE,Illegal,0,1,Bank_45,0
TX0000005806,India,2142187.466,Property Purchase,2013-08-30 21:00,Person_7644,Casinos,Russia,TRUE,Illegal,9,9,Bank_271,1
TX0000001851,UK,3020874.862,Cash Withdrawal,2013-03-19 2:00,Person_6607,Finance,Singapore,TRUE,Illegal,3,7,Bank_147,0
TX0000009023,South Africa,930941.3049,Cash Withdrawal,2014-01-11 22:00,Person_6294,Luxury Goods,USA,FALSE,Legal,2,8,Bank_369,0
TX0000005905,Singapore,2774862.223,Property Purchase,2013-09-04 0:00,Person_8658,Luxury Goods,Brazil,FALSE,Legal,3,2,Bank_418,0
TX0000004373,China,1434481.167,Offshore Transfer,2013-07-02 4:00,Person_6253,Arms Trade,UK,FALSE,Illegal,9,6,Bank_243,1
TX0000007508,Brazil,3246421.656,Cash Withdrawal,2013-11-09 19:00,Person_2783,Casinos,South Africa,FALSE,Illegal,4,8,Bank_306,0
TX0000006445,UAE,4242018.733,Offshore Transfer,2013-09-26 12:00,Person_1128,Luxury Goods,UK,TRUE,Legal,4,2,Bank_498,0
TX0000007183,South Africa,1078427.75,Offshore Transfer,2013-10-27 6:00,Person_799,Real Estate,UK,TRUE,Illegal,8,7,Bank_118,1
TX0000000599,China,3482457.661,Cryptocurrency,2013-01-25 22:00,Person_9186,Arms Trade,Switzerland,FALSE,Legal,7,8,Bank_498,1
TX0000002766,Brazil,4921455.186,Offshore Transfer,2013-04-26 5:00,Person_2625,Construction,USA,FALSE,Illegal,7,3,Bank_429,1
TX0000002294,USA,1612001.928,Property Purchase,2013-04-06 13:00,Person_5440,Arms Trade,Russia,FALSE,Legal,5,7,Bank_471,1
TX0000000989,UK,4672864.139,Cryptocurrency,2013-02-11 4:00,Person_9256,Oil & Gas,Brazil,TRUE,Legal,4,2,Bank_127,0
TX0000002639,Singapore,595031.6459,Offshore Transfer,2013-04-20 22:00,Person_5672,Finance,Brazil,FALSE,Illegal,6,2,Bank_409,1
TX0000007870,China,3149815.802,Property Purchase,2013-11-24 21:00,Person_4041,Arms Trade,India,TRUE,Illegal,9,5,Bank_83,1
TX0000005815,Russia,4602490.456,Property Purchase,2013-08-31 6:00,Person_6311,Real Estate,UAE,FALSE,Illegal,8,9,Bank_370,1
TX0000008788,Singapore,575655.7381,Property Purchase,2014-01-02 3:00,Person_2726,Oil & Gas,South Africa,TRUE,Illegal,9,9,Bank_155,1
TX0000002165,UK,3701054.145,Offshore Transfer,2013-04-01 4:00,Person_3098,Construction,USA,FALSE,Illegal,4,0,Bank_99,0
TX0000001004,UK,4819801.378,Offshore Transfer,2013-02-11 19:00,Person_2992,Construction,Switzerland,FALSE,Legal,5,4,Bank_319,1
TX0000001833,Singapore,401199.3614,Cash Withdrawal,2013-03-18 8:00,Person_9542,Finance,Brazil,FALSE,Legal,2,7,Bank_250,0
TX0000004865,UAE,3996718.201,Cryptocurrency,2013-07-22 16:00,Person_5363,Luxury Goods,UK,FALSE,Legal,4,1,Bank_100,0
TX0000002349,India,1854050.106,Property Purchase,2013-04-08 20:00,Person_3216,Oil & Gas,India,FALSE,Legal,1,0,Bank_493,0
TX0000000653,Brazil,4700942.882,Cryptocurrency,2013-01-28 4:00,Person_696,Construction,China,FALSE,Illegal,5,4,Bank_409,1
TX0000003710,Singapore,1085908.497,Offshore Transfer,2013-06-04 13:00,Person_6070,Real Estate,UK,TRUE,Illegal,6,0,Bank_485,1
TX0000003326,South Africa,3056786.772,Offshore Transfer,2013-05-19 13:00,Person_2328,Finance,South Africa,FALSE,Illegal,5,2,Bank_198,1
TX0000004998,Singapore,1321838.615,Stocks Transfer,2013-07-28 5:00,Person_2550,Arms Trade,Switzerland,FALSE,Illegal,3,0,Bank_238,0
TX0000006098,UK,3834397.385,Offshore Transfer,2013-09-12 1:00,Person_1938,Luxury Goods,UAE,TRUE,Illegal,6,3,Bank_480,1
TX0000009316,USA,1980304.316,Property Purchase,2014-01-24 3:00,Person_4927,Casinos,India,FALSE,Illegal,5,1,Bank_146,1
TX0000009905,UAE,4020996.528,Offshore Transfer,2014-02-17 16:00,Person_7501,Luxury Goods,Brazil,FALSE,Legal,6,5,Bank_262,1
TX0000008075,USA,1074726.177,Cash Withdrawal,2013-12-03 10:00,Person_345,Oil & Gas,Brazil,FALSE,Illegal,2,9,Bank_389,0
TX0000008620,UK,4804412.548,Cryptocurrency,2013-12-26 3:00,Person_6009,Construction,Russia,FALSE,Illegal,6,3,Bank_324,1
TX0000002028,UK,1090876.582,Property Purchase,2013-03-26 11:00,Person_9057,Arms Trade,South Africa,FALSE,Illegal,6,1,Bank_248,1
TX0000004781,South Africa,373204.3896,Offshore Transfer,2013-07-19 4:00,Person_3091,Construction,South Africa,FALSE,Illegal,5,5,Bank_308,1
TX0000007909,India,2803244.482,Offshore Transfer,2013-11-26 12:00,Person_5211,Real Estate,India,FALSE,Illegal,2,2,Bank_207,0
TX0000000675,Russia,2130054.57,Cryptocurrency,2013-01-29 2:00,Person_9350,Real Estate,Brazil,FALSE,Illegal,7,7,Bank_469,1
TX0000000159,USA,317657.8489,Stocks Transfer,2013-01-07 14:00,Person_2341,Real Estate,USA,FALSE,Illegal,0,9,Bank_252,0
TX0000003216,Russia,4819903.654,Cash Withdrawal,2013-05-14 23:00,Person_1049,Luxury Goods,UK,FALSE,Illegal,4,3,Bank_108,0
TX0000002874,UAE,4083024.256,Stocks Transfer,2013-04-30 17:00,Person_6727,Real Estate,China,TRUE,Illegal,6,9,Bank_323,1
TX0000008218,South Africa,2982037.728,Cryptocurrency,2013-12-09 9:00,Person_3455,Finance,Singapore,FALSE,Legal,2,0,Bank_351,0
TX0000002503,India,123447.3397,Stocks Transfer,2013-04-15 6:00,Person_4885,Real Estate,USA,FALSE,Legal,1,6,Bank_9,0
TX0000008372,Singapore,4448932.79,Cash Withdrawal,2013-12-15 19:00,Person_3310,Casinos,Russia,FALSE,Illegal,6,9,Bank_9,1
TX0000002258,UK,3749045.249,Cash Withdrawal,2013-04-05 1:00,Person_5172,Oil & Gas,Switzerland,FALSE,Illegal,0,2,Bank_380,0
TX0000006718,Switzerland,2907301.378,Cryptocurrency,2013-10-07 21:00,Person_7417,Finance,USA,FALSE,Illegal,5,5,Bank_36,1
TX0000005005,South Africa,3150495.771,Stocks Transfer,2013-07-28 12:00,Person_3236,Casinos,Switzerland,FALSE,Illegal,5,4,Bank_35,1
TX0000006745,USA,4907426.6,Cryptocurrency,2013-10-09 0:00,Person_7486,Finance,UAE,FALSE,Illegal,4,1,Bank_346,0
TX0000000767,Singapore,4202176.869,Property Purchase,2013-02-01 22:00,Person_7954,Arms Trade,China,FALSE,Legal,7,7,Bank_158,1
TX0000000345,South Africa,4152570.378,Cash Withdrawal,2013-01-15 8:00,Person_4470,Casinos,China,FALSE,Illegal,4,9,Bank_484,0
TX0000000528,USA,2256923.297,Stocks Transfer,2013-01-22 23:00,Person_8747,Casinos,Brazil,FALSE,Illegal,0,2,Bank_210,0
TX0000001332,USA,4240908.23,Cryptocurrency,2013-02-25 11:00,Person_1245,Construction,Singapore,FALSE,Illegal,4,5,Bank_138,0
TX0000009739,China,4272126.59,Offshore Transfer,2014-02-10 18:00,Person_7337,Oil & Gas,South Africa,TRUE,Illegal,9,7,Bank_450,1
TX0000003289,UK,90297.0569,Stocks Transfer,2013-05-18 0:00,Person_1071,Construction,USA,FALSE,Illegal,2,4,Bank_50,0
TX0000000388,China,1976351.705,Property Purchase,2013-01-17 3:00,Person_5278,Oil & Gas,Russia,FALSE,Illegal,8,3,Bank_92,1
TX0000008508,UAE,3948061.213,Cash Withdrawal,2013-12-21 11:00,Person_4378,Casinos,Switzerland,FALSE,Illegal,4,3,Bank_49,0
TX0000006878,Brazil,4033164.757,Offshore Transfer,2013-10-14 13:00,Person_7259,Real Estate,China,TRUE,Illegal,8,6,Bank_162,1
TX0000008544,Singapore,2821121.425,Cryptocurrency,2013-12-22 23:00,Person_6872,Luxury Goods,Singapore,FALSE,Legal,3,1,Bank_62,0
TX0000000624,UAE,1116831.646,Stocks Transfer,2013-01-26 23:00,Person_6915,Construction,UK,FALSE,Legal,3,3,Bank_299,0
TX0000003200,India,1006918.053,Cash Withdrawal,2013-05-14 7:00,Person_7474,Construction,USA,FALSE,Illegal,2,8,Bank_416,0
TX0000004815,India,2288019.497,Cryptocurrency,2013-07-20 14:00,Person_3106,Finance,Brazil,FALSE,Illegal,6,5,Bank_88,1
TX0000000622,India,2829274.888,Offshore Transfer,2013-01-26 21:00,Person_9544,Luxury Goods,Brazil,FALSE,Legal,5,5,Bank_224,1
TX0000008746,China,1800621.214,Stocks Transfer,2013-12-31 9:00,Person_1719,Arms Trade,Singapore,TRUE,Illegal,6,9,Bank_499,1
TX0000005615,India,1620580.311,Cash Withdrawal,2013-08-22 22:00,Person_725,Luxury Goods,India,TRUE,Illegal,2,8,Bank_150,0
TX0000004903,India,68737.62267,Offshore Transfer,2013-07-24 6:00,Person_7338,Oil & Gas,Singapore,FALSE,Illegal,5,6,Bank_268,1
TX0000009452,Switzerland,3406326.794,Property Purchase,2014-01-29 19:00,Person_8209,Arms Trade,India,TRUE,Legal,5,7,Bank_423,1
TX0000006462,India,239137.0227,Cash Withdrawal,2013-09-27 5:00,Person_6932,Arms Trade,Russia,FALSE,Illegal,4,2,Bank_354,0
TX0000007214,Switzerland,1004917.576,Cryptocurrency,2013-10-28 13:00,Person_4188,Finance,USA,FALSE,Legal,4,0,Bank_327,0
TX0000001819,India,1417003.295,Cryptocurrency,2013-03-17 18:00,Person_3420,Real Estate,USA,FALSE,Illegal,6,9,Bank_110,1
TX0000002748,India,3015562.749,Cryptocurrency,2013-04-25 11:00,Person_1268,Oil & Gas,UK,FALSE,Illegal,3,2,Bank_490,0
TX0000009745,South Africa,4249232.976,Cash Withdrawal,2014-02-11 0:00,Person_953,Construction,China,TRUE,Legal,4,6,Bank_382,0
TX0000003609,UAE,1003320.455,Property Purchase,2013-05-31 8:00,Person_1830,Finance,UAE,FALSE,Illegal,6,6,Bank_126,1
TX0000003934,UAE,2837362.284,Stocks Transfer,2013-06-13 21:00,Person_6612,Arms Trade,India,FALSE,Illegal,4,5,Bank_77,0
TX0000003340,Russia,2356759.453,Property Purchase,2013-05-20 3:00,Person_1415,Construction,India,FALSE,Legal,4,8,Bank_304,0
TX0000008278,Brazil,582463.205,Offshore Transfer,2013-12-11 21:00,Person_8976,Casinos,UAE,FALSE,Illegal,6,2,Bank_225,1
TX0000007925,Russia,4015771.464,Property Purchase,2013-11-27 4:00,Person_6401,Finance,Russia,FALSE,Legal,2,2,Bank_334,0
TX0000007702,Russia,4427221.495,Cryptocurrency,2013-11-17 21:00,Person_9087,Construction,Russia,TRUE,Illegal,5,0,Bank_151,1
TX0000004397,China,4129836.95,Property Purchase,2013-07-03 4:00,Person_6163,Arms Trade,Singapore,FALSE,Legal,4,2,Bank_370,0
TX0000008926,Switzerland,952420.5722,Cash Withdrawal,2014-01-07 21:00,Person_6107,Construction,UK,FALSE,Illegal,0,0,Bank_174,0
TX0000002386,Switzerland,1404711.313,Stocks Transfer,2013-04-10 9:00,Person_6384,Real Estate,UK,TRUE,Illegal,2,4,Bank_484,0
TX0000003048,UK,3565401.551,Stocks Transfer,2013-05-07 23:00,Person_7846,Luxury Goods,Switzerland,FALSE,Illegal,2,6,Bank_52,0
